Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Czech republic,2009,ERDF,997552399.4,548362424.7,449189974.7,12.5
Greece,2009,ERDF,856327130.1,303732504.4,552594625.7,12
Germany,2009,TOTAL,3112147884.8,637215407.4,2474932477.5,17.5
Estonia,2010,ERDF,338953866.4,0,338953866.4,41.1
Italy,2010,ESF,335633162.5,0,335633162.5,18.9
Hungary,2010,ESF,215919993.6,145163542,70756451.6,18.2
Germany,2010,ESF,1128141449.1,0,1128141449.1,29.4
Portugal,2010,TOTAL,2618984420.9,0,2618984420.9,25.2
EU28,2010,ERDF,19849431038.9,0,19849431038.9,22.5
France,2010,ESF,535728197.5,0,535728197.5,24.9
Hungary,2010,ERDF,1183232328.2,0,1183232328.2,22.6
France,2010,TOTAL,1356963324.5,0,1356963324.6,23.6
Czech republic,2010,TOTAL,2102739716.7,0,2102739716.7,20.4
Malta,2010,TOTAL,65898714.9,0,65898714.9,17.6
Slovenia,2010,ESF,104672421.4,0,104672421.4,23.3
Latvia,2010,CF,167532395.3,30795531.1,136736864.2,23.6
Belgium,2010,TOTAL,104884258.5,0,104884258.5,23.2
Lithuania,2010,ERDF,367289939.8,0,367289939.8,37.3
United Kingdom,2010,TOTAL,1401527893.9,0,1401527893.9,27.7
Italy,2010,TOTAL,1445935633.6,0,1445935633.6,14.9
Italy,2010,ERDF,1110302471.1,0,1110302471.1,13.6
United Kingdom,2010,ESF,637958998.5,0,637958998.5,31.3
Croatia,2010,ERDF,3193359.7,0,3193359.7,7
Slovenia,2010,CF,107768123.8,0,107768123.8,23.8
Cyprus,2010,CF,31659292.1,0,31659292.1,28.1
Lithuania,2010,ESF,181391089.2,41132269.1,140258820.1,30.2
Poland,2010,ERDF,4556059399.7,0,4556059399.7,25.4
Ireland,2010,ERDF,44586459.4,0,44586459.4,30
Netherlands,2010,ERDF,82291614.8,0,82291614.8,18.7
Denmark,2010,TOTAL,41600834.6,0,41600834.6,19.7
Luxembourg,2010,TOTAL,2997378.6,0,2997378.6,16.1
Czech republic,2010,ESF,231090006,0,231090006,15.6
Romania,2010,TOTAL,505729070.2,278414365.3,227314704.9,13
Slovakia,2010,TOTAL,1022226392.7,0,1022226392.6,18.9
Slovenia,2010,TOTAL,465145164.4,0,465145164.5,24.8
Hungary,2010,TOTAL,2010627329.4,318009866.4,1692617463,21.3
