Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Italy,2015,ERDF,2974523265.4,0,2974523265.4,72.8
Portugal,2015,ESF,4334808.9,0,4334808.9,95
Poland,2015,ERDF,1695339922.1,0,1695339922.1,92.8
Romania,2015,CF,629593328.5,0,629593328.5,70.2
United Kingdom,2015,ERDF,580735732.9,0,580735732.9,86.4
Belgium,2015,TOTAL,149082494.4,0,149082494.4,89.7
Estonia,2015,ERDF,86248373,0,86248373,95
Finland,2015,ESF,20304983.6,0,20304983.6,95
EU28,2015,TOTAL,32941004744.2,0,32941004744.2,86.6
Italy,2015,TOTAL,3672447867.2,0,3672447867.2,76.5
Italy,2015,ESF,697924601.8,0,697924601.8,87.7
Spain,2015,ESF,530517868.6,0,530517868.6,74.9
Romania,2015,ERDF,764992843.6,0,764992843.6,66.9
Denmark,2015,ESF,12145210,0,12145210,85.6
Sweden,2015,TOTAL,78408757.5,0,78408757.5,94.7
Slovenia,2015,TOTAL,391427833.1,0,391427833.1,91.3
Cyprus,2015,ERDF,18996144,0,18996144,95
Romania,2015,TOTAL,2056106760.7,0,2056106760.7,67.1
Spain,2015,TOTAL,3345668494.6,0,3345668494.6,82.7
Germany,2015,TOTAL,1978896612.9,0,1978896612.9,91.1
Portugal,2015,ERDF,414827254,0,414827254,94.9
Denmark,2015,TOTAL,48471192.2,0,48471192.2,90.3
Ireland,2015,TOTAL,76740851.7,0,76740851.7,90
United Kingdom,2015,ESF,729136883.1,0,729136883.1,86.2
France,2015,TOTAL,1677390179.5,0,1677390179.5,88.6
United Kingdom,2015,TOTAL,1309872616,0,1309872616,86.3
